mainShipmentRouteNumber,speed,time,truckNumber,timestamp,shipmentEndCity,shipmentStartCity,city,country,activity
102,0,2014-04-17 00:34:26,2002,1397694866,AMS,LHR,Coquelles,FR,Connection
104,0,2014-04-19 03:37:33,2004,1397878653,AMS,LHR,Coquelles,FR,Connection
101,0,2014-04-19 19:40:35,2001,1397936435,AMS,LHR,Coquelles,FR,Connection
110,0,2014-04-22 05:22:04,2009,1398144124,AMS,LHR,Coquelles,FR,Connection
106,0,2014-04-20 00:23:40,2005,1397953420,AMS,LHR,Coquelles,FR,Connection
111,0,2014-04-22 01:14:31,2010,1398129271,AMS,LHR,Coquelles,FR,Connection
109,0,2014-04-22 05:56:49,2008,1398146209,AMS,LHR,Hank,NL,Connection
115,22,2014-04-19 07:56:42,2014,1397894202,AMS,LHR,UNK,UNK,Connection
109,0,2014-04-22 05:56:49,2008,1398146209,AMS,LHR,Hank,NL,Connection
112,0,2014-04-22 05:56:49,2011,1398146209,AMS,LHR,Coquelles,FR,Connection
103,0,2014-04-17 01:04:39,2003,1397696679,AMS,LHR,Coquelles,FR,Connection
105,0,2014-04-19 01:51:15,2003,1397872275,AMS,LHR,Coquelles,FR,Connection
107,0,2014-04-20 07:23:49,2006,1397978629,AMS,LHR,Coquelles,FR,Connection
109,90,2014-04-22 05:26:29,2008,1398144389,AMS,LHR,Hank,NL,Connection
109,0,2014-04-22 02:46:34,2008,1398134794,AMS,LHR,Coquelles,FR,Connection
109,12,2014-04-22 00:35:51,2008,1398126951,AMS,LHR,Peene,GB,Drive
107,0,2014-04-20 05:20:15,2006,1397971215,AMS,LHR,Lower Kingswood,GB,Drive
109,0,2014-04-22 07:24:19,2008,1398151459,AMS,LHR,Luchthaven Schiphol,NL,Drive
108,0,2014-04-20 12:31:37,2007,1397997097,AMS,LHR,Luchthaven Schiphol,NL,Drive
109,0,2014-04-22 07:24:19,2008,1398151459,AMS,LHR,Luchthaven Schiphol,NL,Drive
110,10,2014-04-22 04:12:06,2009,1398139926,AMS,LHR,Folkestone,GB,Drive
109,0,2014-04-22 07:24:19,2008,1398151459,AMS,LHR,Luchthaven Schiphol,NL,Drive
108,0,2014-04-20 10:39:10,2007,1397990350,AMS,LHR,UNK,UNK,Drive
107,0,2014-04-20 13:32:56,2006,1398000776,AMS,LHR,Luchthaven Schiphol,NL,Drive
108,0,2014-04-20 03:42:11,2007,1397965331,AMS,LHR,Peene,GB,Drive
106,14,2014-04-20 00:55:06,2005,1397955306,AMS,LHR,UNK,UNK,Drive
