speed,country,city,mainShipmentRouteNumber,activity
42,GB,London Heathrow Airport,109,"Attach container,Travel in UK"
82,GB,London Heathrow Airport,108,"Attach container,Travel in UK"
58,GB,London Heathrow Airport,104,"Attach container,Travel in UK"
58,GB,London Heathrow Airport,103,"Attach container,Travel in UK"
90,GB,London Heathrow Airport,110,"Attach container,Travel in UK"
44,GB,London Heathrow Airport,111,"Attach container,Travel in UK"
52,GB,London Heathrow Airport,105,"Attach container,Travel in UK"
86,GB,London Heathrow Airport,101,"Attach container,Travel in UK"
42,GB,London Heathrow Airport,113,"Attach container,Travel in UK"
90,GB,London Heathrow Airport,107,"Attach container,Travel in UK"
90,GB,London Heathrow Airport,112,"Attach container,Travel in UK"
50,GB,London Heathrow Airport,106,"Attach container,Travel in UK"
46,GB,London Heathrow Airport,115,"Attach container,Travel in UK"
40,GB,London Heathrow Airport,102,"Attach container,Travel in UK"
10,FR,Coquelles,103,"Take Channel tunnel,Travel in EU"
12,FR,Coquelles,112,"Take Channel tunnel,Travel in EU"
12,FR,Coquelles,111,"Take Channel tunnel,Travel in EU"
10,FR,Coquelles,108,"Take Channel tunnel,Travel in EU"
14,FR,Coquelles,107,"Take Channel tunnel,Travel in EU"
18,FR,Coquelles,109,"Take Channel tunnel,Travel in EU"
20,FR,Coquelles,110,"Take Channel tunnel,Travel in EU"
56,FR,Coquelles,113,"Take Channel tunnel,Travel in EU"
20,FR,Coquelles,102,"Take Channel tunnel,Travel in EU"
8,FR,Coquelles,101,"Take Channel tunnel,Travel in EU"
8,FR,Coquelles,104,"Take Channel tunnel,Travel in EU"
90,NL,Hank,109,"Take break in EU,Travel in EU"
80,UNK,UNK,106,"Take break in EU,Travel in EU"
86,UNK,UNK,111,"Take break in EU,Travel in EU"
48,UNK,UNK,108,"Take break in EU,Travel in EU"
42,BE,Burcht,107,"Take break in EU,Travel in EU"
50,NL,Nieuwendijk,109,"Take break in EU,Travel in EU"
90,UNK,UNK,113,"Take break in EU,Travel in EU"
80,UNK,UNK,112,"Take break in EU,Travel in EU"
80,BE,Meer,108,"Take break in EU,Travel in EU"
74,UNK,UNK,112,"Take break in EU,Travel in EU"
48,NL,Rucphen,103,"Take break in EU,Travel in EU"
82,BE,Meer,111,"Take break in EU,Travel in EU"
44,UNK,UNK,107,"Take break in EU,Travel in EU"
82,UNK,UNK,104,"Take break in EU,Travel in EU"
84,UNK,UNK,106,"Take break in EU,Travel in EU"
86,UNK,UNK,102,"Take break in EU,Travel in EU"
90,UNK,UNK,113,"Take break in EU,Travel in EU"
66,UNK,UNK,105,"Take break in EU,Travel in EU"
42,NL,Roosendaal,104,"Take break in EU,Travel in EU"
48,NL,Zegge,103,"Take break in EU,Travel in EU"
86,UNK,UNK,105,"Take break in EU,Travel in EU"
42,UNK,UNK,101,"Take break in EU,Travel in EU"
86,UNK,UNK,102,"Take break in EU,Travel in EU"
66,UNK,UNK,115,"Take break in EU,Travel in EU"
48,UNK,UNK,112,"Take break in EU,Travel in EU"
90,UNK,UNK,113,"Take break in EU,Travel in EU"
50,UNK,UNK,106,"Take break in EU,Travel in EU"
62,GB,UNK,115,"Take break in UK,Travel in UK"
90,GB,UNK,107,"Take break in UK,Travel in UK"
48,GB,Slough,114,"Take break in UK,Travel in UK"
50,GB,Gatwick,107,"Take break in UK,Travel in UK"
68,GB,UNK,114,"Take break in UK,Travel in UK"
0,UNK,UNK,112,"Travel in EU,Take break in EU"
32,UNK,UNK,113,"Travel in EU,Take break in EU"
0,NL,Moerdijk,101,"Travel in EU,Take break in EU"
4,UNK,UNK,111,"Travel in EU,Take break in EU"
30,UNK,UNK,103,"Travel in EU,Take break in EU"
0,UNK,UNK,112,"Travel in EU,Take break in EU"
0,UNK,UNK,115,"Travel in EU,Take break in EU"
0,NL,Hank,109,"Travel in EU,Take break in EU"
0,BE,Meer,111,"Travel in EU,Take break in EU"
0,BE,Oudebos,102,"Travel in EU,Take break in EU"
0,BE,Oudenburg,112,"Travel in EU,Take break in EU"
0,UNK,UNK,113,"Travel in EU,Take break in EU"
0,UNK,UNK,108,"Travel in EU,Take break in EU"
18,UNK,UNK,104,"Travel in EU,Take break in EU"
20,UNK,UNK,107,"Travel in EU,Take break in EU"
18,UNK,UNK,104,"Travel in EU,Take break in EU"
18,UNK,UNK,102,"Travel in EU,Take break in EU"
34,UNK,UNK,105,"Travel in EU,Take break in EU"
14,UNK,UNK,106,"Travel in EU,Take break in EU"
0,UNK,UNK,108,"Travel in EU,Take break in EU"
4,UNK,UNK,106,"Travel in EU,Take break in EU"
0,NL,Hank,109,"Travel in EU,Take break in EU"
0,UNK,UNK,105,"Travel in EU,Take break in EU"
0,UNK,UNK,106,"Travel in EU,Take break in EU"
22,UNK,UNK,107,"Travel in EU,Take break in EU"
0,UNK,UNK,113,"Travel in EU,Take break in EU"
0,UNK,UNK,103,"Travel in EU,Take break in EU"
0,NL,Luchthaven Schiphol,107,"Travel in EU,end"
0,NL,Luchthaven Schiphol,101,"Travel in EU,end"
0,NL,Luchthaven Schiphol,113,"Travel in EU,end"
0,NL,Luchthaven Schiphol,110,"Travel in EU,end"
0,NL,Luchthaven Schiphol,108,"Travel in EU,end"
0,NL,Luchthaven Schiphol,104,"Travel in EU,end"
0,NL,Luchthaven Schiphol,111,"Travel in EU,end"
0,NL,Luchthaven Schiphol,102,"Travel in EU,end"
0,NL,Luchthaven Schiphol,112,"Travel in EU,end"
0,NL,Luchthaven Schiphol,105,"Travel in EU,end"
0,NL,Luchthaven Schiphol,109,"Travel in EU,end"
0,NL,Luchthaven Schiphol,106,"Travel in EU,end"
0,NL,Luchthaven Schiphol,103,"Travel in EU,end"
