mainShipmentRouteNumber;truckNumber;speed;timestamp;time;shipmentStartCity;shipmentEndCity;activity;lifecycle;city;country;Compliance;EGSMtimestamp;delay (min);Difference (abs);Durarion;Missing events;Notes
101;2001;0;1397921623;2014-04-19 15:33:43;LHR;AMS;Load;Started;London Heathrow Airport;GB;1;1397921623;0;0;;;
101;2001;0;1397924157;2014-04-19 16:15:57;LHR;AMS;Load;End;London Heathrow Airport;GB;;1397924479;5,366666667;5,366666667;;;
101;2001;0;1397924166;2014-04-19 16:16:06;LHR;AMS;Drive;Started;London Heathrow Airport;GB;;1397924479;5,216666667;5,216666667;;;
101;2001;0;1397930628;2014-04-19 18:03:48;LHR;AMS;Drive;End;Newington;GB;;1397930548;-1,333333333;1,333333333;;;
101;2001;0;1397932524;2014-04-19 18:35:24;LHR;AMS;Connection;Started;Peene;GB;;1397930548;-32,93333333;32,93333333;;;
101;2001;0;1397937377;2014-04-19 19:56:17;LHR;AMS;Connection;End;Coquelles;FR;;1397936435;-15,7;15,7;;;
101;2001;0;1397937387;2014-04-19 19:56:27;LHR;AMS;Drive;Started;Coquelles;FR;;1397937740;5,883333333;5,883333333;;;
101;2001;0;1397950080;2014-04-19 23:28:00;LHR;AMS;Drive;End;Moerdijk;NL;;1397950080;0;0;;;
101;2001;0;1397950085;2014-04-19 23:28:05;LHR;AMS;Pause;Started;Moerdijk;NL;;1397950080;-0,083333333;0,083333333;;;
101;2001;0;1397952874;2014-04-20 00:14:34;LHR;AMS;Pause;End;Moerdijk;NL;;1397952915;0,683333333;0,683333333;;;
101;2001;2;1397952882;2014-04-20 00:14:42;LHR;AMS;Drive;Started;Moerdijk;NL;;1397952915;0,55;0,55;;;
101;2001;0;1397957083;2014-04-20 01:24:43;LHR;AMS;Drive;End;Luchthaven Schiphol;NL;;1397957083;0;0;591;;
102;2002;0;1397683096;2014-04-16 21:18:16;LHR;AMS;Load;Started;London Heathrow Airport;GB;1;1397683096;0;0;;1;
102;2002;0;1397684579;2014-04-16 21:42:59;LHR;AMS;Load;End;London Heathrow Airport;GB;;1397685245;11,1;11,1;;;
102;2002;0;1397684595;2014-04-16 21:43:15;LHR;AMS;Drive;Started;London Heathrow Airport;GB;;1397685245;10,83333333;10,83333333;;;
102;2002;0;1397691639;2014-04-16 23:40:39;LHR;AMS;Drive;End;Peene;GB;;1397691545;-1,566666667;1,566666667;;;
102;2002;0;1397691653;2014-04-16 23:40:53;LHR;AMS;Connection;Started;Peene;GB;;1397691545;-1,8;1,8;;;
102;2002;0;1397695582;2014-04-17 00:46:22;LHR;AMS;Connection;End;Coquelles;FR;;1397694866;-11,93333333;11,93333333;;;
102;2002;0;1397695590;2014-04-17 00:46:30;LHR;AMS;Drive;Started;Coquelles;FR;;1397695687;1,616666667;1,616666667;;;
102;2002;26;1397697081;2014-04-17 01:11:21;LHR;AMS;Drive;Started;Marck;FR;;1397697185;1,733333333;1,733333333;;;
102;2002;26;1397697081;2014-04-17 01:11:21;LHR;AMS;Pause;End;Marck;FR;;1397697185;1,733333333;1,733333333;;;
102;2002;0;1397703851;2014-04-17 03:04:11;LHR;AMS;Drive;End;Oudebos;BE;;1397703851;0;0;;;
102;2002;0;1397704048;2014-04-17 03:07:28;LHR;AMS;Drive;Started;Oudebos;BE;;1397704384;5,6;5,6;;;
102;2002;0;1397704048;2014-04-17 03:07:28;LHR;AMS;Pause;End;Oudebos;BE;;1397704384;5,6;5,6;;;
102;2002;0;1397713562;2014-04-17 05:46:02;LHR;AMS;Drive;End;Luchthaven Schiphol;NL;;1397713349;-3,55;3,55;507,7666667;;
103;2003;0;1397677827;2014-04-16 19:50:27;LHR;AMS;Load;Started;London Heathrow Airport;GB;1;1397677827;0;0;;;
103;2003;0;1397685576;2014-04-16 21:59:36;LHR;AMS;Load;End;London Heathrow Airport;GB;;1397686229;10,88333333;10,88333333;;;
103;2003;0;1397685720;2014-04-16 22:02:00;LHR;AMS;Drive;Started;London Heathrow Airport;GB;;1397686229;8,483333333;8,483333333;;;
103;2003;0;1397692485;2014-04-16 23:54:45;LHR;AMS;Drive;End;Newington;GB;;1397692485;0;0;;;
103;2003;0;1397693125;2014-04-17 00:05:25;LHR;AMS;Connection;Started;Peene;GB;;1397692485;-10,66666667;10,66666667;;;
103;2003;0;1397696803;2014-04-17 01:06:43;LHR;AMS;Connection;End;Coquelles;FR;;1397696679;-2,066666667;2,066666667;;;
103;2003;0;1397696807;2014-04-17 01:06:47;LHR;AMS;Drive;Started;Coquelles;FR;;1397697115;5,133333333;5,133333333;;;
103;2003;0;1397708696;2014-04-17 04:24:56;LHR;AMS;Pause;Started;Roosendaal;NL;;1397708286;-6,833333333;6,833333333;;;
103;2003;0;1397708696;2014-04-17 04:24:56;LHR;AMS;Drive;End;Roosendaal;NL;;1397708286;-6,833333333;6,833333333;;;
103;2003;48;1397731507;2014-04-17 10:45:07;LHR;AMS;Pause;End;Zegge;NL;;1397731507;0;0;;;
103;2003;48;1397731507;2014-04-17 10:45:07;LHR;AMS;Drive;Started;Zegge;NL;;1397731507;0;0;;;
103;2003;12;1397732373;2014-04-17 10:59:33;LHR;AMS;Pause;Started;Rucphen;NL;;1397732349;-0,4;0,4;;;
103;2003;12;1397732373;2014-04-17 10:59:33;LHR;AMS;Drive;End;Rucphen;NL;;1397732349;-0,4;0,4;;;
103;2003;48;1397732426;2014-04-17 11:00:26;LHR;AMS;Pause;End;Rucphen;NL;;1397732426;0;0;;;
103;2003;48;1397732426;2014-04-17 11:00:26;LHR;AMS;Drive;Started;Rucphen;NL;;1397732426;0;0;;;
103;2003;0;1397738721;2014-04-17 12:45:21;LHR;AMS;Drive;End;Luchthaven Schiphol;NL;;1397738721;0;0;1014,9;;
104;2004;0;1397868192;2014-04-19 00:43:12;LHR;AMS;Load;Started;London Heathrow Airport;GB;1;1397868192;0;0;;;
104;2004;0;1397868238;2014-04-19 00:43:58;LHR;AMS;Load;End;London Heathrow Airport;GB;;1397869043;13,41666667;13,41666667;;;
104;2004;0;1397868323;2014-04-19 00:45:23;LHR;AMS;Drive;Started;London Heathrow Airport;GB;;1397869043;12;12;;;
104;2004;0;1397875413;2014-04-19 02:43:33;LHR;AMS;Drive;End;Peene;GB;;1397875345;-1,133333333;1,133333333;;;
104;2004;0;1397875422;2014-04-19 02:43:42;LHR;AMS;Connection;Started;Peene;GB;;1397875345;-1,283333333;1,283333333;;;
104;2004;0;1397879612;2014-04-19 03:53:32;LHR;AMS;Connection;End;Coquelles;FR;;1397878653;-15,98333333;15,98333333;;;
104;2004;0;1397879633;2014-04-19 03:53:53;LHR;AMS;Drive;Started;Coquelles;FR;;1397880034;6,683333333;6,683333333;;;
104;2004;0;1397891615;2014-04-19 07:13:35;LHR;AMS;Drive;End;Roosendaal;NL;;1397891210;-6,75;6,75;;;
